Regimen Name,Regimen Number
CARBOPLATIN + DOCETAXEL + Pertuzumab + Trastuzumab                                                                                                                                                      ,28
Escalated BEACOP Dac                                                                                                                                                                                    ,29
"PHITT D SIOPEL-4 (A1, A2, A3)                                                                                                                                                                           ",30
BMT                                                                                                                                                                                                     ,31
PARTNER Trial                                                                                                                                                                                           ,32
EC + DOCETAXEL                                                                                                                                                                                          ,33
FLUDARABINE + MELPHALAN                                                                                                                                                                                 ,34
EC                                                                                                                                                                                                      ,35
CYCLOPHOSPHAMIDE + DOCETAXEL + EPIRUBICIN                                                                                                                                                               ,36
ROSCO Trial                                                                                                                                                                                             ,37
UKALL XII Consolidation 2 & 4                                                                                                                                                                           ,38
CYCLOPHOSPHAMIDE + EPIRUBICIN                                                                                                                                                                           ,39
MPV (cycle 1-4)                                                                                                                                                                                         ,40
UKALL14- Ph 1 Induction                                                                                                                                                                                 ,41
ALL UKALL2011 Ind A Sht Dex (PAsp)                                                                                                                                                                      ,42
CARBOPLATIN + DOCETAXEL + Trastuzumab                                                                                                                                                                   ,43
Cetuximab 7 day (Cycle 1)                                                                                                                                                                               ,44
Bortezomib + Thalidomide +/- Dex                                                                                                                                                                        ,45
EW EuroEwing 2012 Arm B VDC                                                                                                                                                                             ,46
FCR Oral - Cycle 2 onwards                                                                                                                                                                              ,47
VEPEMB                                                                                                                                                                                                  ,48
Cyclophosphamide + Docetaxel                                                                                                                                                                            ,49
ALL UKALL2011 TRIAL                                                                                                                                                                                     ,50
BEP 3 day                                                                                                                                                                                               ,51
POMB/ACE                                                                                                                                                                                                ,52
Paclitaxel+Trastuzumab wkly Maint                                                                                                                                                                       ,53
CLADRIBINE                                                                                                                                                                                              ,54
AML 19 TRIAL                                                                                                                                                                                            ,55
FEC + TRASTUZUMAB                                                                                                                                                                                       ,56
Carboplatin + Docetaxel                                                                                                                                                                                 ,57
Bortezomib + MELPHALAN                                                                                                                                                                                  ,58
ALL Int Guide B Ind Ph 1 PegAsp                                                                                                                                                                         ,59
BORTEZOMIB + THALIDOMIDE                                                                                                                                                                                ,60
Bortezomib + Cyclophos + Dex                                                                                                                                                                            ,61
FEC + DOCETAXEL + PERTUZUMAB + TRASTUZUMAB                                                                                                                                                              ,62
Cladribine (subcut) 5 days                                                                                                                                                                              ,63
R GCVP                                                                                                                                                                                                  ,64
TRANSPLANT CYCLOPHOSPHAMIDE + FLUDARABINE (+/- TBI)                                                                                                                                                     ,65
CHOP                                                                                                                                                                                                    ,66
ALL Int Gde A/B DInt PhIV pt1 PAsp                                                                                                                                                                      ,67
FEC                                                                                                                                                                                                     ,68
Bortezomib + CYCLOPHOSPHAMIDE                                                                                                                                                                           ,69
Cyclophos + Dex + Lenalidomide                                                                                                                                                                          ,70
CHOP R                                                                                                                                                                                                  ,71
R Chlorambucil                                                                                                                                                                                          ,72
ALL UKALL2011 Std BFM Cons B                                                                                                                                                                            ,73
CYCLOPHOSPHAMIDE + FLUDARABINE + RITUXIMAB                                                                                                                                                              ,74
Cyclophosphamide PO +Vinorelbine IV                                                                                                                                                                     ,75
AML17 TRIAL                                                                                                                                                                                             ,76
ALL Int Guide B BFMCons Ph II                                                                                                                                                                           ,77
Bortezomib +/- Dexamethasone                                                                                                                                                                            ,78
CHOP - 21 days                                                                                                                                                                                          ,79
Doce + Pertuzumab + Trastuz IV Load                                                                                                                                                                     ,80
Fulvestrant + Ribociclib                                                                                                                                                                                ,81
FCarboSt                                                                                                                                                                                                ,82
ALL UKALL2011 Std Int Maint B                                                                                                                                                                           ,83
Arsenic trioxide                                                                                                                                                                                        ,84
CTD                                                                                                                                                                                                     ,85
ALL UKALL2011 Del Intens A Pt2                                                                                                                                                                          ,86
Bendamustine + Obinutuzumab                                                                                                                                                                             ,87
BEACOPP                                                                                                                                                                                                 ,88
CYCLOPHOSPHAMIDE + EPIRUBICIN + PACLITAXEL                                                                                                                                                              ,89
ABVD                                                                                                                                                                                                    ,90
Maintenance Therapy ALL                                                                                                                                                                                 ,91
MERCAPTOPURINE + METHOTREXATE                                                                                                                                                                           ,92
TRANSPLANT ALEMTUZUMAB + CYTARABINE + ETOPOSIDE + LOMUSTINE + MELPHALAN                                                                                                                                 ,93
Docetaxel 100mg/m2 (21 day)                                                                                                                                                                             ,94
Bendamustine +/- Prednisolone                                                                                                                                                                           ,95
ALL UKALL2011 Del Int C Recon PAsp                                                                                                                                                                      ,96
PACLITAXEL + TRASTUZUMAB                                                                                                                                                                                ,97
CYCLOPHOSPHAMIDE + DOCETAXEL + DOXORUBICIN  + Pertuzumab + Trastuzumab                                                                                                                                  ,98
CHOP R - 21 days                                                                                                                                                                                        ,99
Capecitabine + Trastuzumab                                                                                                                                                                              ,100
Paclitaxel albumin (Abraxane) 21day                                                                                                                                                                     ,101
DA 3 + 10                                                                                                                                                                                               ,102
BLINATUMOMAB                                                                                                                                                                                            ,103
Vinorelbine IV                                                                                                                                                                                          ,104
Bortezomib (weekly)                                                                                                                                                                                     ,105
Bendamustine+Rituximab (1st Course)                                                                                                                                                                     ,106
Gemcitabine + Paclitaxel                                                                                                                                                                                ,107
TCH (21 day Trastuzumab) Maint                                                                                                                                                                          ,108
CTD Attenuated (Thalidomide 50mg)                                                                                                                                                                       ,109
LENALIDOMIDE + RITUXIMAB                                                                                                                                                                                ,110
Cyclophosphamide + Docetaxel + Trastuzumab                                                                                                                                                              ,111
Pertuzumab (Loading)                                                                                                                                                                                    ,112
Fluorouracil + Folinic + RT Bossett                                                                                                                                                                     ,113
CYCLO + DOXORUBICIN + PACLITAXEL                                                                                                                                                                        ,114
ALL UKALL2011 Del Int B Pt1 (PAsp)                                                                                                                                                                      ,115
Gemcitabine+Paclitaxel (Neo-tAnGo)                                                                                                                                                                      ,116
DA-EPOCH-R                                                                                                                                                                                              ,117
Docetaxel                                                                                                                                                                                               ,118
Methotrexate Intrathecal (any age)                                                                                                                                                                      ,119
BENDAMUSTINE + RITUXIMAB                                                                                                                                                                                ,120
ALL UKALL2011 Cap Int Maint C PAsp                                                                                                                                                                      ,121
LANREOTIDE                                                                                                                                                                                              ,122
Rituximab                                                                                                                                                                                               ,123
Obinutuzumab +CVP                                                                                                                                                                                       ,124
CARBO + DOCETAXEL + TRASTUZUMAB                                                                                                                                                                         ,125
NAB PACLITAXEL                                                                                                                                                                                          ,126
ENRICH Trial                                                                                                                                                                                            ,127
CVP R                                                                                                                                                                                                   ,128
Fluorouracil+Mitomycin+RT (Anal Ca)                                                                                                                                                                     ,129
Carboplatin 21day + Paclitaxel 7day                                                                                                                                                                     ,130
CTD Attenuated (Thalidomide 200mg)                                                                                                                                                                      ,131
Capecitabine (21days) + Carboplatin                                                                                                                                                                     ,132
AML 18 TRIAL                                                                                                                                                                                            ,133
HCX (Cape + Cisp + Tras) - Load                                                                                                                                                                         ,134
Bendamustine+Rituximab(Sub Courses)                                                                                                                                                                     ,135
FCR Oral - Cycle 1                                                                                                                                                                                      ,136
POMALIDOMIDE                                                                                                                                                                                            ,137
CHLORAMBUCIL + OBINUTUZUMAB                                                                                                                                                                             ,138
ALL UKALL2011 Consolidation A                                                                                                                                                                           ,139
BORTEZOMIB + DARATUMUMAB + THALIDOMIDE                                                                                                                                                                  ,140
ALL UKALL2011 Ind B Sht Dex (PAsp)                                                                                                                                                                      ,141
CISPLATIN + RT                                                                                                                                                                                          ,142
DA                                                                                                                                                                                                      ,143
CYCLOPHOSPHAMIDE + DOXORUBICIN  + Pertuzumab + Trastuzumab                                                                                                                                              ,144
Capecitabine + Carboplatin + RT                                                                                                                                                                         ,145
EC + PACLITAXEL                                                                                                                                                                                         ,146
DABRAFENIB                                                                                                                                                                                              ,147
ALL UKALL2011 Del Int A Pt1 (Erw)                                                                                                                                                                       ,148
AXITINIB                                                                                                                                                                                                ,149
IDELALISIB + RITUXIMAB                                                                                                                                                                                  ,150
DOCETAXEL + PERTUZUMAB + TRASTUZUMAB                                                                                                                                                                    ,151
CYCLOPHOSPHAMIDE + THALIDOMIDE                                                                                                                                                                          ,152
Docetaxel 75mg/m2 (21 day)                                                                                                                                                                              ,153
Escalated BEACOPP                                                                                                                                                                                       ,154
FEC + PACLITAXEL                                                                                                                                                                                        ,155
Obinutuzumab + Venetoclax                                                                                                                                                                               ,156
HCX                                                                                                                                                                                                     ,157
Cytarabine intrathecal                                                                                                                                                                                  ,158
ALL UKALL 2011 HD MtxA (Protocol M)                                                                                                                                                                     ,159
BEP 5 Day                                                                                                                                                                                               ,160
ALL UKALL2011 Del Int A Pt1 (PAsp)                                                                                                                                                                      ,161
Apalutamide                                                                                                                                                                                             ,162
Palbociclib                                                                                                                                                                                             ,163
ECarboX                                                                                                                                                                                                 ,164
CARBOPLATIN + DOXORUBICIN  + MITOMYCIN                                                                                                                                                                  ,165
Carboplatin AUC 6 - 10                                                                                                                                                                                  ,166
Cisplatin                                                                                                                                                                                               ,167
Chlorambucil                                                                                                                                                                                            ,168
Rituximab (INTRAVENOUS Maintenance)                                                                                                                                                                     ,169
CISPLATIN + FLUOROURACIL + RT                                                                                                                                                                           ,170
GEMCITABINE + RT                                                                                                                                                                                        ,171
Doxorubicin + Ifosfamide                                                                                                                                                                                ,172
Trastuzumab Subcutaneous                                                                                                                                                                                ,173
METHOTREXATE                                                                                                                                                                                            ,174
MITOMYCIN                                                                                                                                                                                               ,175
Doxorubicin + Olaratumab                                                                                                                                                                                ,176
Cisplatin +Fluorouracil (3 wk)                                                                                                                                                                          ,177
CHLVPP                                                                                                                                                                                                  ,178
Cisplatin + Docetaxel +Fluorouracil                                                                                                                                                                     ,179
GEMCITABINE + PACLITAXEL ALBUMIN (ABRAXANE)                                                                                                                                                             ,180
UKALL14- Ph 1 Induction + Imatinib                                                                                                                                                                      ,181
Hydroxycarbamide                                                                                                                                                                                        ,182
TRASTUZUMAB                                                                                                                                                                                             ,183
Folfirinox                                                                                                                                                                                              ,184
RUXOLITINIB                                                                                                                                                                                             ,185
Docetaxel + Trastuzumab (Maint)                                                                                                                                                                         ,186
CISPLATIN + DOCETAXEL + FLUOROURACIL                                                                                                                                                                    ,187
MYELOMA XI TRIAL                                                                                                                                                                                        ,188
FLUOROURACIL + MITOMYCIN + RT                                                                                                                                                                           ,189
Pertuzumab (Maintenance)                                                                                                                                                                                ,190
FLUOROURACIL + IRINOTECAN + OXALIPLATIN                                                                                                                                                                 ,191
Doce + Pertuzumab + Trastuz IV Maint                                                                                                                                                                    ,192
HD EuroNet-PHL-C1 OEPA                                                                                                                                                                                  ,193
Cetuximab + Radiotherapy Load                                                                                                                                                                           ,194
CHLORAMBUCIL + ETOPOSIDE + LOMUSTINE                                                                                                                                                                    ,195
CAPECITABINE + CISPLATIN + Trastuzumab                                                                                                                                                                  ,196
Capecitabine + Cisplatin + RT                                                                                                                                                                           ,197
Nilotinib                                                                                                                                                                                               ,198
Alemtuzumab+Busulfan+CyclophosphMUD                                                                                                                                                                     ,199
Trastuzumab 21 day loading dose                                                                                                                                                                         ,200
DOCETAXEL + GEMCITABINE                                                                                                                                                                                 ,201
Carboplatin + Vinorelbine IV                                                                                                                                                                            ,202
CISPLATIN + FLUOROURACIL                                                                                                                                                                                ,203
Alemtuz+Fludara+Melphalan RIC MUD                                                                                                                                                                       ,204
Rituximab (Maintenance)                                                                                                                                                                                 ,205
CYTARABINE                                                                                                                                                                                              ,206
OXALIPLATIN + MDG + PANITUMUMAB                                                                                                                                                                         ,207
DOCETAXEL + TRASTUZUMAB                                                                                                                                                                                 ,208
Methotrexate intrathecal                                                                                                                                                                                ,209
AVELUMAB + AXITINIB                                                                                                                                                                                     ,210
CARFILZOMIB + LENALIDOMIDE                                                                                                                                                                              ,211
Imatinib 400mg                                                                                                                                                                                          ,212
DA 3+8                                                                                                                                                                                                  ,213
ALL UKALL2011 Maintenance C3                                                                                                                                                                            ,214
BENDAMUSTINE                                                                                                                                                                                            ,215
Paclitaxel 7 day                                                                                                                                                                                        ,216
Cyclophosphamide + Dex + Rituximab                                                                                                                                                                      ,217
IMATINIB                                                                                                                                                                                                ,218
BEACOPP-14                                                                                                                                                                                              ,219
Thalidomide 50mg                                                                                                                                                                                        ,220
Cytarabine Low Dose                                                                                                                                                                                     ,221
Dox + HD Mtx (post PAM)                                                                                                                                                                                 ,222
CEMIPLIMAB                                                                                                                                                                                              ,223
Cisplatin + Radiotherapy                                                                                                                                                                                ,224
Pertuzumab + Trastuzumab IV                                                                                                                                                                             ,225
Cisplatin 7 day                                                                                                                                                                                         ,226
PACLITAXEL                                                                                                                                                                                              ,227
ALL UKALL2011 Maintenance A4                                                                                                                                                                            ,228
Letrozole + Palbociclib                                                                                                                                                                                 ,229
Rituximab (SUBCUTANEOUS Maintenance)                                                                                                                                                                    ,230
NB HRNBL-1 Isotretinoin                                                                                                                                                                                 ,231
Trastuzumab                                                                                                                                                                                             ,232
Triple / Double Intrathecal Therapy                                                                                                                                                                     ,233
Carboplatin + Paclitaxel (weekly)                                                                                                                                                                       ,234
INTERLACE TRIAL                                                                                                                                                                                         ,235
ALL ALLR3: S/IR Cons Wk 5                                                                                                                                                                               ,236
Temozolomide + RT                                                                                                                                                                                       ,237
Melpahan IV Low dose                                                                                                                                                                                    ,238
Cytarabine High Dose                                                                                                                                                                                    ,239
Fulvestrant + Palbociclib                                                                                                                                                                               ,240
Abemaciclib                                                                                                                                                                                             ,241
BEAM                                                                                                                                                                                                    ,242
CHLORAMBUCIL + RITUXIMAB                                                                                                                                                                                ,243
Triple Intrathecal                                                                                                                                                                                      ,244
PACLITAXEL ALBUMIN (ABRAXANE)                                                                                                                                                                           ,245
CVD                                                                                                                                                                                                     ,246
Doxorubicin chemoembolisation                                                                                                                                                                           ,247
Trastuzumab 21 day maintenance                                                                                                                                                                          ,248
ALL UKALL2011 Aug BFM Cons C PegAsp                                                                                                                                                                     ,249
Paclitaxel (2 or 3 weekly)                                                                                                                                                                              ,250
LI-1 TRIAL                                                                                                                                                                                              ,251
Ipilimumab                                                                                                                                                                                              ,252
Pazopanib                                                                                                                                                                                               ,253
Melphalan oral                                                                                                                                                                                          ,254
CARBOPLATIN + RT                                                                                                                                                                                        ,255
CISPLATIN + ETOPOSIDE                                                                                                                                                                                   ,256
CARBOPLATIN + PACLITAXEL                                                                                                                                                                                ,257
Carboplatin + Paclitaxel (3 weekly)                                                                                                                                                                     ,258
MATRIX (lymphoma)                                                                                                                                                                                       ,259
AML MyeChild                                                                                                                                                                                            ,260
Cape+Cisplatin+Trastuzumab Load                                                                                                                                                                         ,261
Cyclophosphamide + Topotecan                                                                                                                                                                            ,262
Docetaxel + Trastuzumab (SC)                                                                                                                                                                            ,263
                                                                                                                                                                                                        ,264
Capital Trial                                                                                                                                                                                           ,265
Cisplatin + Gemcitabine (D 1 & 8)                                                                                                                                                                       ,266
Docetaxel + Trastuzumab (Load)                                                                                                                                                                          ,267
TRASTUZUMAB DERUXTECAN                                                                                                                                                                                  ,268
Cisplatin + Etoposide po                                                                                                                                                                                ,269
BUSULFAN                                                                                                                                                                                                ,270
Cisplatin 100 + RT(H&N) 1 day                                                                                                                                                                           ,271
Trastuzumab(Kadcyla®) (1st cycle)                                                                                                                                                                       ,272
Paclitaxel albumin (Abraxane) 7 day                                                                                                                                                                     ,273
Mini BEAM                                                                                                                                                                                               ,274
Cisplatin+Gemcitabine (gallbladder)                                                                                                                                                                     ,275
Carboplatin + Cetux + FU (>Cycle 2)                                                                                                                                                                     ,276
Fluorouracil+Mitomycin+RT (Bladder)                                                                                                                                                                     ,277
Mitomycin Intravesical                                                                                                                                                                                  ,278
Ribociclib                                                                                                                                                                                              ,279
FLAIR trial                                                                                                                                                                                             ,280
ALL Interim Guide 2019 Maintenance                                                                                                                                                                      ,281
CYCLOPHOSPHAMIDE + CYTARABINE + MERCAPTOPURINE + METHOTREXATE                                                                                                                                           ,282
ICON8B TRIAL                                                                                                                                                                                            ,283
Bevacizumab+Carbo+Pacliaxel                                                                                                                                                                             ,284
Capecitabine 35days + RT                                                                                                                                                                                ,285
Erwinase (Erwinia Asparaginase)                                                                                                                                                                         ,286
Doxorubicin 75mg/m2                                                                                                                                                                                     ,287
ALL UKALL2011 Maintenance B4                                                                                                                                                                            ,288
CLOFARABINE + CYCLOPHOSPHAMIDE + ETOPOSIDE                                                                                                                                                              ,289
Azacitidine                                                                                                                                                                                             ,290
Cisplatin + Etoposide (3 day)                                                                                                                                                                           ,291
BCG Intravesical                                                                                                                                                                                        ,292
Carboplatin + Pembrolizumab + Pemetrexed                                                                                                                                                                ,293
ISATUXIMAB                                                                                                                                                                                              ,294
Carboplatin+Fluorouracil 4 or 5 day                                                                                                                                                                     ,295
ETOPOSIDE                                                                                                                                                                                               ,296
ALL UKALL2011 Maintenance A1                                                                                                                                                                            ,297
Carboplatin AUC 2 - 5                                                                                                                                                                                   ,298
FLAG + Idarubicin                                                                                                                                                                                       ,299
Dacomitinib                                                                                                                                                                                             ,300
THALIDOMIDE                                                                                                                                                                                             ,301
PERTUZUMAB + TRASTUZUMAB                                                                                                                                                                                ,302
STAMPEDE TRIAL                                                                                                                                                                                          ,303
VINCRISTINE                                                                                                                                                                                             ,304
HD EuroNet-PHL-C1 COPDAC                                                                                                                                                                                ,305
Avelumab                                                                                                                                                                                                ,306
BRIGATINIB                                                                                                                                                                                              ,307
ABEMACICLIB + FULVESTRANT                                                                                                                                                                               ,308
Cyclophosphamide High Dose                                                                                                                                                                              ,309
Carbo F                                                                                                                                                                                                 ,310
CAPECITABINE + MITOMYCIN + RT                                                                                                                                                                           ,311
Capecitabine + Oxaliplatin 14day                                                                                                                                                                        ,312
R-GDP                                                                                                                                                                                                   ,313
EVEROLIMUS                                                                                                                                                                                              ,314
CAPECITABINE + CARBOPLATIN                                                                                                                                                                              ,315
GEMCITABINE + NAB PACLITAXEL                                                                                                                                                                            ,316
TRASTUZUMAB EMTANSINE                                                                                                                                                                                   ,317
ALL UKALL2011 Maintenance A2                                                                                                                                                                            ,318
ALL UKALL2011 Maintenance A3                                                                                                                                                                            ,319
Methotrexate High Dose (3g/m2)                                                                                                                                                                          ,320
Everolimus 10mg                                                                                                                                                                                         ,321
ATEZOLIZUMAB + NAB PACLITAXEL                                                                                                                                                                           ,322
Carboplatin + Etoposide iv&po                                                                                                                                                                           ,323
Dasatinib                                                                                                                                                                                               ,324
Cyclophosphamide Weekly PO                                                                                                                                                                              ,325
IPILIMUMAB + NIVOLUMAB                                                                                                                                                                                  ,326
Cisplatin + Etoposide po&iv 3 day                                                                                                                                                                       ,327
Carboplatin + Etoposide IV 3 day                                                                                                                                                                        ,328
FOXTROT TRIAL                                                                                                                                                                                           ,329
CYCLOPHOSPHAMIDE + FLUDARABINE                                                                                                                                                                          ,330
GEMCITABINE + OXALIPLATIN + RITUXIMAB                                                                                                                                                                   ,331
Venetoclax                                                                                                                                                                                              ,332
CARBOPLATIN                                                                                                                                                                                             ,333
CYCLOPHOSPHAMIDE + FILGRASTIM                                                                                                                                                                           ,334
CISPLATIN + GEMCITABINE                                                                                                                                                                                 ,335
CAP + RT                                                                                                                                                                                                ,336
CYCLOPHOSPHAMIDE + RITUXIMAB + VINCRISTINE                                                                                                                                                              ,337
CARBOPLATIN + CYCLOPHOSPHAMIDE + DOXORUBICIN  + PACLITAXEL                                                                                                                                              ,338
Gemcitabine 1000mg/m2 D1 8 15                                                                                                                                                                           ,339
PERUSE TRIAL                                                                                                                                                                                            ,340
Cape+Cisplatin+Trastuzumab Main                                                                                                                                                                         ,341
CAPECITABINE + OXALIPLATIN                                                                                                                                                                              ,342
Bevacizumab + CARBOPLATIN + PACLITAXEL                                                                                                                                                                  ,343
Capecitabine + Cisplatin                                                                                                                                                                                ,344
NHL IntB NHL ritux2010 GpB COPADM                                                                                                                                                                       ,345
IBRUTINIB                                                                                                                                                                                               ,346
STS Rhabdomyosarcoma RMS 2005 IVA                                                                                                                                                                       ,347
LEAM                                                                                                                                                                                                    ,348
FLUOROURACIL + MITOMYCIN                                                                                                                                                                                ,349
Gemcitabine weekly                                                                                                                                                                                      ,350
Paclitaxel 80mg/m2 day 1 8 15                                                                                                                                                                           ,351
FLUOROURACIL + IRINOTECAN + PANITUMUMAB                                                                                                                                                                 ,352
TRANSPLANT CARMUSTINE + THIOTEPA                                                                                                                                                                        ,353
Cyclophosphamide + Fludarabine                                                                                                                                                                          ,354
BOSUTINIB                                                                                                                                                                                               ,355
Capecitabine + Oxaliplatin 21day                                                                                                                                                                        ,356
CYCLOPHOSPHAMIDE + ETOPOSIDE + Procarbazine                                                                                                                                                             ,357
CARBOPLATIN + ETOPOSIDE                                                                                                                                                                                 ,358
Trial Unspecified                                                                                                                                                                                       ,359
MELPHALAN                                                                                                                                                                                               ,360
PIXANTRONE                                                                                                                                                                                              ,361
CYCLOPHOSPHAMIDE                                                                                                                                                                                        ,362
Capecitabine + Streptozocin                                                                                                                                                                             ,363
ALL UKALL2011 Maintenance B1                                                                                                                                                                            ,364
CARBOPLATIN + ETOPOSIDE + IFOSFAMIDE + RITUXIMAB                                                                                                                                                        ,365
Docetaxel + Gemcitabine with GCSF                                                                                                                                                                       ,366
Capecitabine (14 days)+Carboplatin                                                                                                                                                                      ,367
Bevacizumab + CAPECITABINE + OXALIPLATIN                                                                                                                                                                ,368
FLUDARABINE                                                                                                                                                                                             ,369
Bevacizumab 7.5mg/kg                                                                                                                                                                                    ,370
Obinutuzumab                                                                                                                                                                                            ,371
Cisplatin + Pemetrexed                                                                                                                                                                                  ,372
Ixazomib + Lenalidomide                                                                                                                                                                                 ,373
GemCarbo Days 1+8                                                                                                                                                                                       ,374
Cisplatin + Etoposide (5 day)                                                                                                                                                                           ,375
Carboplatin + Vinorelbine Oral                                                                                                                                                                          ,376
EVEROLIMUS + EXEMESTANE                                                                                                                                                                                 ,377
CARDAMON trial                                                                                                                                                                                          ,378
CARBOPLATIN + VINORELBINE                                                                                                                                                                               ,379
DOCETAXEL + FLUOROURACIL + OXALIPLATIN                                                                                                                                                                  ,380
GEMCARBO                                                                                                                                                                                                ,381
EOX                                                                                                                                                                                                     ,382
AML Int Guide ADE 10+3+5 (1)                                                                                                                                                                            ,383
Melphalan IV High dose                                                                                                                                                                                  ,384
CARBOPLATIN + PACLITAXEL + RT                                                                                                                                                                           ,385
Liposomal Doxorubicin 50mg/m2                                                                                                                                                                           ,386
GEMCITABINE                                                                                                                                                                                             ,387
DABRAFENIB + TRAMETINIB                                                                                                                                                                                 ,388
Epirubicin                                                                                                                                                                                              ,389
ETOPOSIDE + IFOSFAMIDE                                                                                                                                                                                  ,390
DOXORUBICIN                                                                                                                                                                                             ,391
Acalabrutinib                                                                                                                                                                                           ,392
Abiraterone                                                                                                                                                                                             ,393
WT SIOP 2002 01 post op VAVV                                                                                                                                                                            ,394
CAPECITABINE + RT                                                                                                                                                                                       ,395
CVP                                                                                                                                                                                                     ,396
COSMIC TRIAL                                                                                                                                                                                            ,397
EW EuroEwing 2012 Arm B IE                                                                                                                                                                              ,398
Dacarbazine                                                                                                                                                                                             ,399
ISATUXIMAB + POMALIDOMIDE                                                                                                                                                                               ,400
Epirubicin (weekly)                                                                                                                                                                                     ,401
CRIZOTINIB                                                                                                                                                                                              ,402
Eribulin                                                                                                                                                                                                ,403
Lenalidomide 25mg (Cycle 1 to 25)                                                                                                                                                                       ,404
DA-EPOCH                                                                                                                                                                                                ,405
ECF                                                                                                                                                                                                     ,406
CARBOPLATIN + EPIRUBICIN                                                                                                                                                                                ,407
CISPLATIN + VINORELBINE                                                                                                                                                                                 ,408
Oxaliplatin + Modified de Gramont                                                                                                                                                                       ,409
Capecitabine 5days + RT                                                                                                                                                                                 ,410
Bevacizumab                                                                                                                                                                                             ,411
Enzalutamide                                                                                                                                                                                            ,412
Trabectedin                                                                                                                                                                                             ,413
MPT                                                                                                                                                                                                     ,414
PEMBROLIZUMAB                                                                                                                                                                                           ,415
LENALIDOMIDE                                                                                                                                                                                            ,416
Bortezomib + Panobinostat                                                                                                                                                                               ,417
CARBOPLATIN + CETUXIMAB + FU                                                                                                                                                                            ,418
GEMCITABINE + CARBO + RITUXIMAB                                                                                                                                                                         ,419
Raltitrexed                                                                                                                                                                                             ,420
CISPLATIN + VINORELBINE + RT                                                                                                                                                                            ,421
CAP                                                                                                                                                                                                     ,422
CISPLATIN + GEMCITABINE + RITUXIMAB                                                                                                                                                                     ,423
Temozolomide 200mg/m2                                                                                                                                                                                   ,424
Tivozanib                                                                                                                                                                                               ,425
Larotrectinib                                                                                                                                                                                           ,426
Cyclophosphamide oral                                                                                                                                                                                   ,427
ICE-R                                                                                                                                                                                                   ,428
VINORELBINE                                                                                                                                                                                             ,429
Sorafenib                                                                                                                                                                                               ,430
INTERFERON                                                                                                                                                                                              ,431
Neratinib                                                                                                                                                                                               ,432
Sunitinib                                                                                                                                                                                               ,433
Cisplatin + Pembrolizumab + Pemetrexed                                                                                                                                                                  ,434
CYCLOPHOSPHAMIDE + EPIRUBICIN  + PACLITAXEL + Trastuzumab                                                                                                                                               ,435
GDP                                                                                                                                                                                                     ,436
ECX                                                                                                                                                                                                     ,437
BENDAMUSTINE + Brentuximab Vendotin                                                                                                                                                                     ,438
Anastrozole + palbociclib                                                                                                                                                                               ,439
"ALCL ALCL 99 Closed BM 1, 2 or 3                                                                                                                                                                        ",440
MAP                                                                                                                                                                                                     ,441
Gemcitabine + Capecitabine                                                                                                                                                                              ,442
Erlotinib                                                                                                                                                                                               ,443
BEVACIZUMAB + CARBO + PACLITAXEL                                                                                                                                                                        ,444
REGORAFENIB                                                                                                                                                                                             ,445
CARBOPLATIN + GEMCITABINE                                                                                                                                                                               ,446
Capecitabine                                                                                                                                                                                            ,447
Abemaciclib + Letrozole                                                                                                                                                                                 ,448
Cisplatin + Vinorelbine (PO)                                                                                                                                                                            ,449
Capecitabine + Mitomycin                                                                                                                                                                                ,450
